ordernumber,sales_channel,warehousecode,procureddate,orderdate,shipdate,deliverydate,currencycode,salesteamid,customerid,storeid,productid,order_quantity,discount_applied,unit_price,unit_cost,order_total,order_discount,grand_total
SO - 000125,In-Store,WARE-NMK1003,2018-04-10,2018-06-02,2018-06-16,2018-06-24,USD,4,15,173,13,1,0.15,268.0,131.32,268.0,40.199999999999996,227.8
SO - 000126,Online,WARE-NMK1003,2017-12-31,2018-06-02,2018-06-21,2018-07-01,USD,18,46,110,24,7,0.1,174.20000000000002,95.81000000000002,1219.4,121.94000000000001,1097.46
SO - 000127,In-Store,WARE-UHY1004,2017-12-31,2018-06-02,2018-06-26,2018-07-06,USD,7,32,229,46,3,0.075,2988.2000000000003,2510.088,8964.6,672.345,8292.255000000001
SO - 000128,In-Store,WARE-UHY1004,2017-12-31,2018-06-02,2018-06-20,2018-06-29,USD,9,32,238,36,4,0.05,3999.9,2679.9330000000004,15999.6,799.98,15199.62
SO - 000129,Distributor,WARE-NMK1003,2018-04-10,2018-06-02,2018-06-21,2018-06-22,USD,20,22,97,37,3,0.05,5976.400000000001,2450.324,17929.2,896.46,17032.74
SO - 000130,In-Store,WARE-NMK1003,2018-04-10,2018-06-02,2018-06-27,2018-06-29,USD,8,5,103,32,5,0.1,2901.1,2378.902,14505.5,1450.5500000000002,13054.95
SO - 000131,In-Store,WARE-PUJ1005,2018-04-10,2018-06-03,2018-06-26,2018-07-05,USD,8,29,305,23,7,0.075,6076.900000000001,2734.6050000000005,42538.3,3190.3725,39347.927500000005
SO - 000132,Online,WARE-PUJ1005,2017-12-31,2018-06-03,2018-06-05,2018-06-10,USD,13,35,303,14,7,0.2,5735.2,4186.696,40146.4,8029.280000000001,32117.120000000003
SO - 000133,Online,WARE-UHY1004,2017-12-31,2018-06-03,2018-06-30,2018-07-10,USD,19,46,217,7,3,0.1,3919.5,2077.335,11758.5,1175.8500000000001,10582.65
SO - 000134,Online,WARE-MKL1006,2017-12-31,2018-06-03,2018-06-30,2018-07-05,USD,17,42,362,46,1,0.05,6083.6,3832.668,6083.6,304.18,5779.42
SO - 000135,Wholesale,WARE-MKL1006,2018-04-10,2018-06-03,2018-06-14,2018-06-15,USD,26,2,335,40,5,0.075,2566.1,1642.304,12830.5,962.2874999999999,11868.2125
SO - 000136,Distributor,WARE-NBV1002,2017-12-31,2018-06-03,2018-06-07,2018-06-13,USD,22,28,84,38,2,0.075,2278.0,1093.44,4556.0,341.7,4214.3
SO - 000137,In-Store,WARE-UHY1004,2017-12-31,2018-06-03,2018-06-14,2018-06-21,USD,7,46,256,1,1,0.075,261.3,120.198,261.3,19.5975,241.70250000000001
SO - 000138,Online,WARE-MKL1006,2017-12-31,2018-06-03,2018-06-28,2018-07-08,USD,12,22,360,17,8,0.05,998.3,698.8100000000001,7986.4,399.32,7587.08
SO - 000139,In-Store,WARE-NMK1003,2017-12-31,2018-06-03,2018-06-13,2018-06-21,USD,4,34,90,40,6,0.2,3497.4,1958.5440000000003,20984.4,4196.88,16787.52
SO - 000140,In-Store,WARE-NMK1003,2017-12-31,2018-06-03,2018-06-18,2018-06-28,USD,9,26,196,25,4,0.05,1132.3,486.889,4529.2,226.46,4302.74
SO - 000141,In-Store,WARE-XYS1001,2017-12-31,2018-06-03,2018-06-15,2018-06-17,USD,7,26,40,2,7,0.05,2405.3,1587.4980000000005,16837.100000000002,841.8550000000001,15995.245000000003
SO - 000142,Distributor,WARE-MKL1006,2017-12-31,2018-06-03,2018-06-24,2018-07-03,USD,24,24,367,3,8,0.05,5701.7,3249.969,45613.6,2280.68,43332.92
SO - 000143,Distributor,WARE-UHY1004,2017-12-31,2018-06-04,2018-06-09,2018-06-16,USD,25,18,249,34,1,0.2,2452.2000000000003,1446.798,2452.2000000000003,490.44000000000005,1961.7600000000002
SO - 000144,In-Store,WARE-XYS1001,2017-12-31,2018-06-04,2018-06-30,2018-07-04,USD,11,21,6,11,3,0.05,3095.4,2012.01,9286.2,464.31000000000006,8821.890000000001
SO - 000145,Online,WARE-UHY1004,2017-12-31,2018-06-04,2018-06-12,2018-06-14,USD,15,14,212,8,4,0.4,3865.9,2164.9040000000005,15463.6,6185.4400000000005,9278.16
SO - 000146,Distributor,WARE-XYS1001,2017-12-31,2018-06-04,2018-06-10,2018-06-15,USD,23,3,37,11,8,0.1,2304.8,1382.88,18438.4,1843.8400000000001,16594.56
SO - 000147,Online,WARE-XYS1001,2017-12-31,2018-06-04,2018-06-21,2018-06-24,USD,17,13,38,35,3,0.05,3195.9,1470.114,9587.7,479.38500000000005,9108.315
SO - 000148,Online,WARE-PUJ1005,2017-12-31,2018-06-04,2018-06-19,2018-06-26,USD,18,49,294,33,7,0.05,6452.1,5161.68,45164.700000000004,2258.235,42906.465000000004
SO - 000149,Distributor,WARE-NMK1003,2017-12-31,2018-06-05,2018-06-14,2018-06-17,USD,24,4,105,16,3,0.3,2003.3,921.518,6009.9,1802.9699999999998,4206.93
SO - 000150,Distributor,WARE-XYS1001,2018-04-10,2018-06-05,2018-06-28,2018-07-07,USD,23,20,17,8,8,0.05,3638.1,1455.24,29104.8,1455.24,27649.559999999998
SO - 000151,In-Store,WARE-NMK1003,2018-04-10,2018-06-05,2018-06-14,2018-06-17,USD,4,19,109,44,3,0.075,2278.0,1822.4,6834.0,512.55,6321.45
SO - 000152,Online,WARE-NMK1003,2018-04-10,2018-06-05,2018-06-25,2018-06-29,USD,16,25,141,22,6,0.3,924.6,582.498,5547.6,1664.28,3883.3200000000006
SO - 000153,Online,WARE-NMK1003,2018-04-10,2018-06-05,2018-06-21,2018-07-01,USD,19,8,111,16,5,0.05,3926.2,3062.436,19631.0,981.5500000000001,18649.45
SO - 000154,Distributor,WARE-MKL1006,2017-12-31,2018-06-05,2018-06-12,2018-06-18,USD,23,24,349,25,4,0.075,3825.7,2257.163,15302.8,1147.7099999999998,14155.09
SO - 000155,Wholesale,WARE-MKL1006,2017-12-31,2018-06-05,2018-07-03,2018-07-08,USD,27,13,360,4,3,0.05,2257.9,1377.319,6773.700000000001,338.68500000000006,6435.015
SO - 000156,Distributor,WARE-NMK1003,2017-12-31,2018-06-06,2018-07-02,2018-07-08,USD,24,32,148,33,8,0.075,1112.2,756.296,8897.6,667.32,8230.28
SO - 000157,Online,WARE-NMK1003,2017-12-31,2018-06-06,2018-06-22,2018-06-23,USD,19,28,103,45,8,0.05,3557.7000000000003,1814.427,28461.600000000002,1423.0800000000002,27038.52
SO - 000158,Online,WARE-NBV1002,2017-12-31,2018-06-06,2018-06-09,2018-06-12,USD,13,8,59,45,3,0.4,2371.8,1233.3360000000002,7115.400000000001,2846.1600000000003,4269.24
SO - 000159,Online,WARE-NBV1002,2017-12-31,2018-06-06,2018-07-01,2018-07-04,USD,14,47,60,1,1,0.4,857.6,686.08,857.6,343.04,514.56
SO - 000160,In-Store,WARE-UHY1004,2017-12-31,2018-06-07,2018-06-14,2018-06-16,USD,11,33,238,20,5,0.3,3892.7,2880.598,19463.5,5839.05,13624.45
SO - 000161,In-Store,WARE-NMK1003,2017-12-31,2018-06-07,2018-06-13,2018-06-15,USD,3,26,151,21,6,0.075,3477.3,1390.92,20863.800000000003,1564.785,19299.015000000003
SO - 000162,Online,WARE-NMK1003,2017-12-31,2018-06-07,2018-06-11,2018-06-21,USD,13,20,152,44,5,0.1,3738.6,2803.95,18693.0,1869.3000000000002,16823.7
SO - 000163,Online,WARE-PUJ1005,2018-04-10,2018-06-07,2018-06-10,2018-06-13,USD,20,6,262,8,5,0.3,1072.0,589.6,5360.0,1608.0,3752.0
SO - 000164,In-Store,WARE-NMK1003,2018-04-10,2018-06-07,2018-07-01,2018-07-02,USD,5,40,120,46,7,0.05,2257.9,1761.162,15805.300000000001,790.2650000000001,15015.035000000002
SO - 000165,Online,WARE-UHY1004,2018-04-10,2018-06-07,2018-06-11,2018-06-13,USD,18,23,233,46,3,0.1,1058.6,751.6060000000001,3175.7999999999997,317.58,2858.22
SO - 000166,Online,WARE-NBV1002,2018-04-10,2018-06-07,2018-06-15,2018-06-25,USD,13,38,77,39,4,0.1,2492.4,1296.048,9969.6,996.96,8972.64
SO - 000167,In-Store,WARE-NBV1002,2018-04-10,2018-06-07,2018-06-13,2018-06-21,USD,4,30,69,11,5,0.05,3852.5,2465.6,19262.5,963.125,18299.375
SO - 000168,Distributor,WARE-UHY1004,2017-12-31,2018-06-08,2018-06-19,2018-06-25,USD,23,42,215,37,8,0.05,241.2,132.66000000000005,1929.6,96.48,1833.12
SO - 000169,In-Store,WARE-XYS1001,2017-12-31,2018-06-08,2018-06-11,2018-06-17,USD,9,1,30,35,2,0.15,1051.9,494.393,2103.8,315.57,1788.2300000000002
SO - 000170,Distributor,WARE-NMK1003,2017-12-31,2018-06-08,2018-06-14,2018-06-19,USD,25,11,169,10,5,0.3,227.8,107.066,1139.0,341.7,797.3
SO - 000171,Distributor,WARE-MKL1006,2018-04-10,2018-06-08,2018-06-14,2018-06-15,USD,24,4,333,14,5,0.05,1078.7,506.989,5393.5,269.675,5123.825
SO - 000172,Wholesale,WARE-NMK1003,2018-04-10,2018-06-08,2018-06-13,2018-06-20,USD,28,6,96,10,8,0.15,1005.0,743.7,8040.0,1206.0,6834.0
SO - 000173,Distributor,WARE-PUJ1005,2018-04-10,2018-06-08,2018-07-03,2018-07-09,USD,24,17,289,45,5,0.05,2485.7000000000003,1317.4210000000005,12428.500000000002,621.4250000000002,11807.075
SO - 000174,In-Store,WARE-NMK1003,2018-04-10,2018-06-08,2018-06-30,2018-07-06,USD,3,7,140,22,3,0.05,2659.9,2154.519,7979.700000000001,398.98500000000007,7580.715000000001
SO - 000175,In-Store,WARE-NMK1003,2018-04-10,2018-06-09,2018-06-28,2018-07-03,USD,1,1,107,1,1,0.075,2224.4,1579.324,2224.4,166.83,2057.57
SO - 000176,In-Store,WARE-MKL1006,2018-04-10,2018-06-09,2018-06-12,2018-06-16,USD,11,27,338,35,7,0.2,2472.3,1260.873,17306.100000000002,3461.2200000000007,13844.880000000001
SO - 000177,In-Store,WARE-UHY1004,2018-04-10,2018-06-09,2018-06-23,2018-06-24,USD,5,33,232,15,5,0.05,1011.7,799.243,5058.5,252.925,4805.575
SO - 000178,Wholesale,WARE-UHY1004,2018-04-10,2018-06-09,2018-07-05,2018-07-13,USD,26,28,231,28,6,0.2,234.5,128.97500000000002,1407.0,281.40000000000003,1125.6
SO - 000179,Online,WARE-NMK1003,2018-04-10,2018-06-09,2018-06-14,2018-06-17,USD,13,42,158,11,4,0.075,261.3,143.71500000000003,1045.2,78.39,966.8100000000001
SO - 000180,Online,WARE-XYS1001,2017-12-31,2018-06-09,2018-06-27,2018-07-01,USD,18,5,36,29,7,0.1,4006.6,2844.686,28046.2,2804.6200000000003,25241.58
SO - 000181,In-Store,WARE-UHY1004,2018-04-10,2018-06-09,2018-07-05,2018-07-13,USD,3,10,206,28,7,0.05,1333.3,866.645,9333.1,466.65500000000003,8866.445
SO - 000182,In-Store,WARE-UHY1004,2018-04-10,2018-06-10,2018-07-07,2018-07-09,USD,10,34,255,15,5,0.05,167.5,90.45,837.5,41.875,795.625
SO - 000183,Online,WARE-MKL1006,2018-04-10,2018-06-10,2018-06-28,2018-07-02,USD,14,23,336,27,7,0.075,3195.9,1821.663,22371.3,1677.8474999999999,20693.4525
SO - 000184,Online,WARE-PUJ1005,2018-04-10,2018-06-10,2018-06-30,2018-07-05,USD,20,18,307,15,1,0.05,1051.9,809.9630000000001,1051.9,52.595000000000006,999.3050000000001
SO - 000185,Online,WARE-XYS1001,2017-12-31,2018-06-10,2018-06-30,2018-07-03,USD,15,8,9,28,4,0.1,5447.1,3540.615,21788.4,2178.84,19609.56
SO - 000186,Online,WARE-NMK1003,2018-04-10,2018-06-10,2018-06-16,2018-06-24,USD,13,36,200,18,2,0.075,3182.5,1973.15,6365.0,477.375,5887.625
SO - 000187,In-Store,WARE-MKL1006,2017-12-31,2018-06-11,2018-06-29,2018-07-01,USD,6,47,337,30,3,0.1,891.1,632.681,2673.3,267.33000000000004,2405.9700000000003
SO - 000188,Online,WARE-NMK1003,2017-12-31,2018-06-11,2018-06-16,2018-06-19,USD,15,27,158,31,2,0.2,3892.7,2724.89,7785.4,1557.08,6228.32
SO - 000189,Online,WARE-UHY1004,2017-12-31,2018-06-11,2018-06-13,2018-06-16,USD,13,5,249,8,2,0.4,3953.0,3360.05,7906.0,3162.4,4743.6
SO - 000190,Online,WARE-NMK1003,2017-12-31,2018-06-11,2018-06-28,2018-07-07,USD,20,38,185,5,2,0.3,924.6,545.514,1849.2,554.76,1294.44
SO - 000191,Online,WARE-NMK1003,2018-04-10,2018-06-11,2018-07-07,2018-07-08,USD,20,21,189,10,7,0.3,3430.4,1989.632,24012.8,7203.839999999999,16808.96
SO - 000192,Distributor,WARE-NMK1003,2018-04-10,2018-06-11,2018-06-28,2018-07-06,USD,22,24,170,43,7,0.075,1152.4,622.296,8066.800000000001,605.0100000000001,7461.790000000001
SO - 000193,Distributor,WARE-NMK1003,2018-04-10,2018-06-11,2018-06-21,2018-06-24,USD,21,25,130,37,4,0.1,1085.4,922.59,4341.6,434.1600000000001,3907.4400000000005
SO - 000194,In-Store,WARE-NMK1003,2017-12-31,2018-06-12,2018-06-16,2018-06-22,USD,5,11,149,15,5,0.1,5031.7,4025.36,25158.5,2515.8500000000004,22642.65
SO - 000195,Distributor,WARE-NMK1003,2018-04-10,2018-06-12,2018-06-28,2018-07-03,USD,24,17,99,33,7,0.15,1092.1,436.8400000000001,7644.699999999999,1146.7049999999997,6497.994999999999
SO - 000196,Wholesale,WARE-XYS1001,2017-12-31,2018-06-12,2018-06-25,2018-06-27,USD,27,5,21,17,7,0.05,187.6,144.452,1313.2,65.66000000000001,1247.54
SO - 000197,Online,WARE-NMK1003,2017-12-31,2018-06-12,2018-07-09,2018-07-16,USD,18,30,90,1,4,0.05,3993.2,2835.172,15972.8,798.64,15174.16
SO - 000198,Online,WARE-MKL1006,2017-12-31,2018-06-12,2018-06-15,2018-06-18,USD,14,9,360,15,5,0.05,2472.3,1433.934,12361.5,618.075,11743.425
SO - 000199,In-Store,WARE-XYS1001,2018-04-10,2018-06-12,2018-07-05,2018-07-14,USD,4,47,23,47,4,0.05,1206.0,844.1999999999999,4824.0,241.20000000000002,4582.8
SO - 000200,Online,WARE-NMK1003,2017-12-31,2018-06-12,2018-06-22,2018-06-29,USD,20,5,144,40,5,0.05,1728.6,985.302,8643.0,432.15000000000003,8210.85
SO - 000201,Wholesale,WARE-NMK1003,2017-12-31,2018-06-12,2018-06-20,2018-06-29,USD,28,23,134,23,7,0.075,1983.2,1447.736,13882.4,1041.1799999999998,12841.22
SO - 000202,Online,WARE-NMK1003,2018-04-10,2018-06-12,2018-07-10,2018-07-14,USD,20,14,180,11,2,0.2,5313.1,2656.55,10626.2,2125.2400000000002,8500.960000000001
SO - 000203,Distributor,WARE-XYS1001,2018-04-10,2018-06-12,2018-06-17,2018-06-25,USD,20,44,58,23,5,0.075,871.0,566.15,4355.0,326.625,4028.375
SO - 000204,Online,WARE-NMK1003,2017-12-31,2018-06-13,2018-06-27,2018-07-01,USD,12,38,175,43,2,0.1,2532.6,2051.406,5065.2,506.52,4558.68
SO - 000205,Online,WARE-NMK1003,2018-04-10,2018-06-13,2018-06-25,2018-06-26,USD,14,14,95,1,4,0.075,5916.1,4673.719,23664.4,1774.8300000000002,21889.57
SO - 000206,Online,WARE-UHY1004,2017-12-31,2018-06-13,2018-06-23,2018-07-01,USD,13,34,231,31,1,0.075,2887.7000000000003,1443.85,2887.7000000000003,216.57750000000001,2671.1225000000004
SO - 000207,In-Store,WARE-NMK1003,2017-12-31,2018-06-13,2018-06-20,2018-06-22,USD,1,13,199,11,7,0.1,1855.9,1447.602,12991.300000000001,1299.13,11692.170000000002
SO - 000208,In-Store,WARE-XYS1001,2018-04-10,2018-06-13,2018-06-17,2018-06-19,USD,2,5,58,39,5,0.1,207.7,135.00500000000002,1038.5,103.85000000000001,934.65
SO - 000209,In-Store,WARE-MKL1006,2017-12-31,2018-06-13,2018-06-29,2018-07-06,USD,2,2,345,3,3,0.05,1058.6,772.7780000000001,3175.7999999999997,158.79,3017.0099999999998
SO - 000210,Online,WARE-UHY1004,2018-04-10,2018-06-13,2018-07-03,2018-07-13,USD,13,17,241,20,7,0.1,958.1,517.374,6706.7,670.6700000000001,6036.03
SO - 000211,In-Store,WARE-NMK1003,2018-04-10,2018-06-13,2018-07-08,2018-07-18,USD,6,40,186,27,7,0.2,2659.9,1675.737,18619.3,3723.86,14895.439999999999
SO - 000212,In-Store,WARE-NMK1003,2017-12-31,2018-06-13,2018-07-05,2018-07-13,USD,7,15,144,8,3,0.1,2217.7000000000003,1707.6290000000004,6653.1,665.3100000000001,5987.79
SO - 000213,Online,WARE-XYS1001,2017-12-31,2018-06-14,2018-06-17,2018-06-20,USD,20,12,40,11,1,0.3,1715.2,857.6,1715.2,514.56,1200.64
SO - 000214,In-Store,WARE-PUJ1005,2018-04-10,2018-06-14,2018-07-06,2018-07-09,USD,6,25,288,32,7,0.15,3932.9,1691.147,27530.3,4129.545,23400.754999999997
SO - 000215,In-Store,WARE-NMK1003,2017-12-31,2018-06-14,2018-06-19,2018-06-20,USD,2,13,169,40,2,0.05,2546.0,1909.5,5092.0,254.60000000000002,4837.4
SO - 000216,Online,WARE-PUJ1005,2017-12-31,2018-06-14,2018-06-26,2018-07-01,USD,15,18,277,21,1,0.075,837.5,603.0,837.5,62.8125,774.6875
SO - 000217,Online,WARE-UHY1004,2018-04-10,2018-06-14,2018-06-26,2018-07-05,USD,16,3,219,12,3,0.15,1809.0,1302.48,5427.0,814.05,4612.95
SO - 000218,Wholesale,WARE-PUJ1005,2018-04-10,2018-06-14,2018-06-29,2018-07-03,USD,26,25,306,11,8,0.075,857.6,514.56,6860.8,514.56,6346.24
SO - 000219,In-Store,WARE-XYS1001,2017-12-31,2018-06-14,2018-06-30,2018-07-07,USD,8,11,7,22,6,0.05,1748.7,1101.681,10492.2,524.61,9967.59
SO - 000220,Wholesale,WARE-NBV1002,2017-12-31,2018-06-14,2018-06-16,2018-06-17,USD,28,44,78,4,1,0.075,1266.3,582.498,1266.3,94.9725,1171.3274999999999
SO - 000221,In-Store,WARE-XYS1001,2017-12-31,2018-06-14,2018-06-16,2018-06-22,USD,3,30,28,9,5,0.1,5058.5,3591.535,25292.5,2529.25,22763.25
SO - 000222,Distributor,WARE-XYS1001,2018-04-10,2018-06-14,2018-06-28,2018-07-06,USD,22,38,39,6,7,0.05,958.1,795.223,6706.7,335.33500000000004,6371.365
SO - 000223,Online,WARE-NMK1003,2017-12-31,2018-06-14,2018-07-10,2018-07-14,USD,19,47,122,2,8,0.15,1802.3,756.966,14418.4,2162.7599999999998,12255.64
SO - 000224,In-Store,WARE-XYS1001,2018-04-10,2018-06-15,2018-07-07,2018-07-16,USD,4,17,48,32,4,0.075,6298.0,4534.56,25192.0,1889.3999999999999,23302.6
SO - 000225,Online,WARE-XYS1001,2017-12-31,2018-06-15,2018-07-02,2018-07-06,USD,18,28,1,30,1,0.1,2499.1,1824.343,2499.1,249.91,2249.19
SO - 000226,In-Store,WARE-NMK1003,2018-04-10,2018-06-15,2018-06-19,2018-06-23,USD,8,5,198,23,3,0.1,871.0,705.51,2613.0,261.3,2351.7
SO - 000227,In-Store,WARE-UHY1004,2017-12-31,2018-06-15,2018-07-12,2018-07-18,USD,1,32,242,5,1,0.05,750.4,360.19199999999995,750.4,37.52,712.88
SO - 000228,Wholesale,WARE-NMK1003,2018-04-10,2018-06-15,2018-06-23,2018-06-27,USD,27,21,200,14,8,0.075,763.8000000000001,504.10800000000006,6110.400000000001,458.28000000000003,5652.120000000001
SO - 000229,In-Store,WARE-PUJ1005,2017-12-31,2018-06-15,2018-06-26,2018-07-02,USD,5,49,304,25,6,0.1,844.2,565.614,5065.200000000001,506.5200000000001,4558.68
SO - 000230,In-Store,WARE-XYS1001,2018-04-10,2018-06-15,2018-07-05,2018-07-14,USD,2,6,31,27,7,0.05,261.3,112.359,1829.1000000000001,91.45500000000001,1737.6450000000002
SO - 000231,Online,WARE-NBV1002,2017-12-31,2018-06-15,2018-07-06,2018-07-16,USD,19,47,71,33,2,0.05,3999.9,2359.941,7999.8,399.99,7599.81
SO - 000232,In-Store,WARE-UHY1004,2017-12-31,2018-06-15,2018-06-25,2018-07-03,USD,4,32,250,18,6,0.05,1112.2,811.9060000000001,6673.200000000001,333.6600000000001,6339.540000000001
SO - 000233,In-Store,WARE-NMK1003,2018-04-10,2018-06-15,2018-06-26,2018-07-04,USD,10,18,167,2,2,0.075,2633.1,1843.17,5266.2,394.965,4871.235
SO - 000234,Distributor,WARE-NMK1003,2017-12-31,2018-06-15,2018-07-09,2018-07-13,USD,22,8,132,4,6,0.2,1018.4,631.408,6110.4,1222.08,4888.32
SO - 000235,In-Store,WARE-XYS1001,2018-04-10,2018-06-15,2018-06-27,2018-06-30,USD,1,24,56,21,4,0.15,5219.3,3444.7380000000003,20877.2,3131.58,17745.620000000003
SO - 000236,Distributor,WARE-UHY1004,2018-04-10,2018-06-15,2018-07-13,2018-07-20,USD,21,11,259,26,1,0.15,3999.9,2359.941,3999.9,599.985,3399.915
SO - 000237,Online,WARE-MKL1006,2018-04-10,2018-06-16,2018-06-27,2018-07-01,USD,20,50,341,25,5,0.4,1721.9,1084.797,8609.5,3443.8,5165.7
SO - 000238,In-Store,WARE-NMK1003,2017-12-31,2018-06-16,2018-07-05,2018-07-12,USD,10,7,195,37,6,0.15,737.0,456.94,4422.0,663.3,3758.7
SO - 000239,Online,WARE-XYS1001,2018-04-10,2018-06-16,2018-07-07,2018-07-15,USD,19,2,33,40,3,0.05,1219.4,695.058,3658.2000000000003,182.91000000000003,3475.2900000000004
SO - 000240,In-Store,WARE-PUJ1005,2017-12-31,2018-06-16,2018-07-12,2018-07-17,USD,2,18,279,41,8,0.05,891.1,712.8800000000001,7128.8,356.44000000000005,6772.360000000001
SO - 000241,In-Store,WARE-NMK1003,2018-04-10,2018-06-16,2018-07-14,2018-07-18,USD,7,28,148,9,1,0.15,978.2,743.432,978.2,146.73,831.47
SO - 000242,In-Store,WARE-NMK1003,2018-04-10,2018-06-16,2018-07-01,2018-07-10,USD,11,47,170,17,1,0.15,3946.3,1657.446,3946.3,591.945,3354.355
SO - 000243,In-Store,WARE-NMK1003,2018-04-10,2018-06-16,2018-07-05,2018-07-06,USD,3,27,181,38,2,0.4,1299.8,922.858,2599.6,1039.84,1559.76
SO - 000244,Online,WARE-NBV1002,2018-04-10,2018-06-17,2018-07-14,2018-07-24,USD,19,21,77,12,4,0.05,5815.6,2791.4880000000003,23262.4,1163.1200000000001,22099.280000000002
SO - 000245,In-Store,WARE-NMK1003,2018-04-10,2018-06-17,2018-07-08,2018-07-10,USD,3,43,122,23,6,0.15,1092.1,655.2600000000001,6552.599999999999,982.8899999999999,5569.709999999999
SO - 000246,Distributor,WARE-XYS1001,2018-04-10,2018-06-17,2018-07-10,2018-07-17,USD,24,42,36,18,6,0.15,1072.0,643.1999999999999,6432.0,964.8,5467.2
